,StockType,Title,Exterior,Interior,Transmission,Drivetrain,Price,Mileage
0,USED,2004 Mazda RX-8 Sport Automatic,Gray,Black,Automatic,RWD,3999,105793
1,USED,2016 Mercedes-Benz AMG GT AMG GT S,Blue,Other,Automatic,RWD,68500,32114
2,USED,2017 INFINITI Q60 3.0T Premium,Gray,Gray,Automatic,RWD,22500,56419
3,USED,1992 Honda Prelude S,Black,Black,Manual,FWD,2998,261237
4,USED,2016 Scion tC w/ sunroof,White,Gray,Other / Unknown,FWD,14000,41690
5,USED,2011 Honda CR-Z EX,Gray,Silver,CVT,FWD,4950,110997
6,USED,2012 Audi S5 4.2 Prestige quattro,Gray,Beige,Automatic,AWD,14495,64275
7,USED,2014 Scion tC CERTIFIED PRE OWNED,White,Black,Automatic,FWD,9999,81839
8,USED,2010 smart ForTwo Passion,White,Black,Automatic,RWD,5499,41489
9,USED,1993 Nissan 300ZX,Blue,Gray,Automatic,FWD,5000,98538
10,USED,2005 Chrysler Crossfire Limited,Blue,Gray,Manual,RWD,5995,41890
11,USED,2003 Nissan 350Z Enthusiast,Black,Black,Manual,RWD,6800,133023
12,USED,2006 Mercedes-Benz CL500,Black,Black,Automatic,RWD,9950,86585
13,USED,1985 Porsche 944,Black,Black,Manual,RWD,3795,41763
14,USED,2007 Ford Shelby GT500 Base,Blue,Black,Manual,RWD,19900,26103
15,USED,2006 Hyundai Tiburon,Blue,Other,Automatic,FWD,4995,132963
16,USED,2004 Pontiac GTO Base,Black,Black,Automatic,RWD,13000,20266
17,USED,2014 Scion tC,Gray,Gray,Manual,FWD,3995,103233
18,USED,2006 INFINITI G35 Base,Black,White,Manual,RWD,6950,68579
19,USED,2004 Pontiac GTO,Silver,Red,Manual,RWD,12999,51284
20,USED,2008 Hyundai Tiburon GT Limited,Gray,Black,Automatic,FWD,5995,83369
21,USED,1979 Ford Thunderbird ONE OWNER,Black,Other,Automatic,Unknown,7500,36428
22,USED,2013 Scion FR-S,Black,Black,Manual,RWD,7995,46364
23,USED,2017 BMW M240 i,White,Brown,Manual,RWD,33995,28966
24,USED,2009 Jaguar XKR,Gray,Black,Automatic,RWD,18500,73798
25,USED,1972 Chevrolet Monte Carlo,Brown,White,Automatic,RWD,15800,35201
26,USED,1984 Porsche 944,Blue,Black,Manual,Unknown,4880,168678
27,USED,2014 BMW i8 Base,Gray,Other,Automatic,AWD,57985,27073
28,NEW,2020 BMW 230 i xDrive,Black,Black,Automatic,AWD,44260,0
29,BMW CERTIFIED,2016 BMW i8 Base,White,White,Automatic,AWD,66500,28643
30,USED,2017 Acura NSX Base,Red,Black,Automatic,AWD,124275,7137
31,USED,2013 Volkswagen CC 2.0T Sport,Black,Black,Automatic,FWD,9000,68208
32,USED,1985 Pontiac Fiero GT,Black,Gray,Manual,RWD,8799,26550
33,USED,2018 Lexus LC 500 Base,White,Red,Automatic,RWD,69538,17212
34,USED,2011 Scion tC Base,Black,Black,Manual,FWD,6971,62355
35,USED,1998 Lincoln Mark VIII,Other,Gray,Automatic,RWD,4791,$1002
36,ASTON MARTIN CERTIFIED,2019 Aston Martin Vantage Base,Black,Black,Automatic,RWD,133000,1245
37,USED,2006 Chevrolet Monte Carlo SS,Red,Black,Automatic,FWD,7995,60705
38,USED,2016 Scion FR-S Release Series 2.0,Black,Black,Automatic,RWD,11495,33889
39,USED,2015 Honda Civic EX,Other,Other,CVT,FWD,5995,49892
40,USED,1993 Mazda RX-7,Red,Red,Manual,Unknown,28977,73968
41,USED,1998 Lincoln Mark VIII,White,Beige,Automatic,RWD,4900,64964
42,USED,2015 Lexus RC F Base,Black,Other,Automatic,RWD,39890,29427
43,USED,2004 Mazda RX-8 Base,Gray,Black,Manual,RWD,7900,40567
44,USED,2003 Pontiac Grand Am GT,Black,Black,Automatic,FWD,3450,94921
